_id,Ano,Codigo,Inep,Escola,Municipio,Localizacao,Situacao,Endereco,Numero,Bairro,Cep,Telefone,Email,TipoEnsino,idTipoEnsino,NivelOrganizacional,IdEscola,Id
34,2009,3205002,32036051,EEEFM - ANTONIO ENGRACIO DA SILVA,SERRA,URBANA,Em Atividade,RUA FLOR DE CACTUS,"",FEU ROSA,29172045,(27) - 32433792,ESCOLAANTONIO@SEDU.GOV.ES.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,78,5182107
35,2014,3205002,32036051,EEEFM - ANTONIO ENGRACIO DA SILVA,SERRA,URBANA,Em Atividade,RUA FLOR DE CACTUS,"",FEU ROSA,29172045,(27) - 32433792,ESCOLAANTONIO@SEDU.GOV.ES.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,78,5182108
36,2015,3205002,32036051,EEEFM - ANTONIO ENGRACIO DA SILVA,SERRA,URBANA,Em Atividade,RUA FLOR DE CACTUS,"",FEU ROSA,29172045,(27) - 32433792,ESCOLAANTONIO@SEDU.GOV.ES.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,78,5182109
37,2009,3205002,32036060,EEEFM - ANTONIO LUIZ VALIATI,SERRA,URBANA,Em Atividade,RUA PROJETADA,S/Nº,JARDIM TROPICAL,29160010,() - ,ESCOLAANTONIOLUIZ@SEDU.ES.GOV.BR,ENSINO FUNDAMENTAL(9),8,Estadual,79,5182110
38,2011,3205002,32036060,EEEFM - ANTONIO LUIZ VALIATI,SERRA,URBANA,Em Atividade,RUA PROJETADA,S/Nº,JARDIM TROPICAL,29160010,() - ,ESCOLAANTONIOLUIZ@SEDU.ES.GOV.BR,ENSINO FUNDAMENTAL(9),8,Estadual,79,5182111
39,2014,3205002,32036086,EEEFM - ARLINDO FERREIRA LOPES,SERRA,URBANA,Em Atividade,RUA ELIAS TOMAS,"",BOA VISTA I,29161520,(27) - 33383078,ESCOLAARLINDO@SEDU.ES.GOV.BR,ENSINO FUNDAMENTAL(9),8,Estadual,80,5182112
40,2014,3205002,32036086,EEEFM - ARLINDO FERREIRA LOPES,SERRA,URBANA,Em Atividade,RUA ELIAS TOMAS,"",BOA VISTA I,29161520,(27) - 33383078,ESCOLAARLINDO@SEDU.ES.GOV.BR,EDUCAÇÃO ESPECIAL,7,Estadual,80,5182113
41,2008,3205002,32036116,EEEFM - D JOAO BATISTA DA MOTTA E ALBUQUERQUE,SERRA,URBANA,Em Atividade,RUA MARIA DE FATIMA DA COSTA,"",ANDRE CARLONI,29161828,() - ,ESCOLAJOAOBATISTA@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,82,5182114
42,2010,3205002,32036124,EEEFM - ELICE BAPTISTA GÁUDIO,SERRA,URBANA,Em Atividade,RUA TULIPAS,"",SERRA DOURADA II,29171233,(27) - 33411422,ESCOLAELICEBAPTISTA@SEDU.ES.GOV.BR,ENSINO FUNDAMENTAL(8),2,Estadual,83,5182115
43,2008,3205002,32036124,EEEFM - ELICE BAPTISTA GÁUDIO,SERRA,URBANA,Em Atividade,RUA TULIPAS,"",SERRA DOURADA II,29171233,(27) - 33411422,ESCOLAELICEBAPTISTA@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,83,5182116
44,2013,3205002,32036124,EEEFM - ELICE BAPTISTA GÁUDIO,SERRA,URBANA,Em Atividade,RUA TULIPAS,"",SERRA DOURADA II,29171233,(27) - 33411422,ESCOLAELICEBAPTISTA@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,83,5182117
45,2011,3205002,32036167,EEEF - JONES JOSE DO NASCIMENTO,SERRA,URBANA,Em Atividade,RUA DISTRITO FEDERAL,03,CENTRAL DE CARAPINA,29161567,() - ,ESCOLAJONESJOSE@SEDU.ES.GOV.BR,ENSINO FUNDAMENTAL(8),2,Estadual,84,5182118
46,2013,3205002,32036167,EEEF - JONES JOSE DO NASCIMENTO,SERRA,URBANA,Em Atividade,RUA DISTRITO FEDERAL,03,CENTRAL DE CARAPINA,29161567,() - ,ESCOLAJONESJOSE@SEDU.ES.GOV.BR,ENSINO FUNDAMENTAL(9),8,Estadual,84,5182119
47,2014,3205002,32036167,EEEF - JONES JOSE DO NASCIMENTO,SERRA,URBANA,Em Atividade,RUA DISTRITO FEDERAL,03,CENTRAL DE CARAPINA,29161567,() - ,ESCOLAJONESJOSE@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,84,5182120
48,2014,3205002,32036175,EEEF - JUDITH LEAO CASTELLO RIBEIRO,SERRA,URBANA,Em Atividade,RUA MIGUEL JOSÉ,"",PITANGA,29169830,(27) - 32826164,ESCOLAJUDITHLEAO@SEDU.GOV.BR,EDUCAÇÃO ESPECIAL,7,Estadual,85,5182121
49,2010,3205002,32036183,EEEF - MANOEL LOPES,SERRA,URBANA,Em Atividade,RUA 13 DE MAIO,"",TAQUARA II,29167647,() - ,ESCOLAMANOELLOPES@SEDU.ES.COM.BR,ENSINO FUNDAMENTAL(9),8,Estadual,86,5182122
50,2015,3205002,32036183,EEEF - MANOEL LOPES,SERRA,URBANA,Em Atividade,RUA 13 DE MAIO,"",TAQUARA II,29167647,() - ,ESCOLAMANOELLOPES@SEDU.ES.COM.BR,EDUCAÇÃO ESPECIAL,7,Estadual,86,5182123
51,2013,3205002,32036191,EEEFM - MARIA PENEDO,SERRA,URBANA,Em Atividade,AVENIDA GUARAPARI,"",VALPARAISO,29160010,(27) - 32418370,ESCOLAMPENEDO@SEDU.ES.GOV.BR,ENSINO FUNDAMENTAL(9),8,Estadual,87,5182124
52,2013,3205002,32036191,EEEFM - MARIA PENEDO,SERRA,URBANA,Em Atividade,AVENIDA GUARAPARI,"",VALPARAISO,29160010,(27) - 32418370,ESCOLAMPENEDO@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,87,5182125
53,2008,3205002,32036205,EEEFM - MARINETE DE SOUZA LIRA,SERRA,URBANA,Em Atividade,RUA VITORIA-REGIA,"",FEU ROSA,29172075,(27) - 32452004,ESCOLAMARINETE@SEDU.ES.GOV.BR,ENSINO MÉDIO,3,Estadual,88,5182126
54,2012,3205002,32036205,EEEFM - MARINETE DE SOUZA LIRA,SERRA,URBANA,Em Atividade,RUA VITORIA-REGIA,"",FEU ROSA,29172075,(27) - 32452004,ESCOLAMARINETE@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,88,5182127
55,2010,3205002,32036213,EEEFM - MARINGA,SERRA,URBANA,Em Atividade,RUA DEZESSETE,"",MARINGA,29168308,(27) - 30335554,ESCOLAMARINGA@SEDU.ES.GOV.BR,ENSINO FUNDAMENTAL(9),8,Estadual,89,5182128
56,2013,3205002,32036213,EEEFM - MARINGA,SERRA,URBANA,Em Atividade,RUA DEZESSETE,"",MARINGA,29168308,(27) - 30335554,ESCOLAMARINGA@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,89,5182129
57,2013,3205002,32036213,EEEFM - MARINGA,SERRA,URBANA,Em Atividade,RUA DEZESSETE,"",MARINGA,29168308,(27) - 30335554,ESCOLAMARINGA@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,89,5182130
58,2014,3205002,32066333,EEEFM - ZUMBI DOS PALMARES - SERRA,SERRA,URBANA,Em Atividade,AVENIDA HONOLULU,"",CIDADE CONTINENTAL-SETOR OCEANIA,29163453,(27) - 32415455,ESCOLAZUMBI@SEDU.ES.GOV.BR,ENSINO FUNDAMENTAL(8),2,Estadual,90,5182131
59,2014,3205002,32066333,EEEFM - ZUMBI DOS PALMARES - SERRA,SERRA,URBANA,Em Atividade,AVENIDA HONOLULU,"",CIDADE CONTINENTAL-SETOR OCEANIA,29163453,(27) - 32415455,ESCOLAZUMBI@SEDU.ES.GOV.BR,ENSINO MÉDIO,3,Estadual,90,5182132
60,2013,3205002,32066333,EEEFM - ZUMBI DOS PALMARES - SERRA,SERRA,URBANA,Em Atividade,AVENIDA HONOLULU,"",CIDADE CONTINENTAL-SETOR OCEANIA,29163453,(27) - 32415455,ESCOLAZUMBI@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,90,5182133
61,2013,3205002,32066333,EEEFM - ZUMBI DOS PALMARES - SERRA,SERRA,URBANA,Em Atividade,AVENIDA HONOLULU,"",CIDADE CONTINENTAL-SETOR OCEANIA,29163453,(27) - 32415455,ESCOLAZUMBI@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,90,5182134
62,2009,3202504,32021194,EEEFM - NARCEU DE PAIVA FILHO,IBIRACU,URBANA,Em Atividade,RUA DANIEL COMBONI,51,CENTRO,29670000,(27) - 32571570,ESCOLANARCEUPAIVA@SEDU.ES.GOV.BR,ENSINO FUNDAMENTAL(8),2,Estadual,91,5182135
63,2008,3202504,32021194,EEEFM - NARCEU DE PAIVA FILHO,IBIRACU,URBANA,Em Atividade,RUA DANIEL COMBONI,51,CENTRO,29670000,(27) - 32571570,ESCOLANARCEUPAIVA@SEDU.ES.GOV.BR,ENSINO MÉDIO,3,Estadual,91,5182136
64,2011,3202504,32021194,EEEFM - NARCEU DE PAIVA FILHO,IBIRACU,URBANA,Em Atividade,RUA DANIEL COMBONI,51,CENTRO,29670000,(27) - 32571570,ESCOLANARCEUPAIVA@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,91,5182137
65,2012,3202504,32021194,EEEFM - NARCEU DE PAIVA FILHO,IBIRACU,URBANA,Em Atividade,RUA DANIEL COMBONI,51,CENTRO,29670000,(27) - 32571570,ESCOLANARCEUPAIVA@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,91,5182138
66,2014,3202504,32021194,EEEFM - NARCEU DE PAIVA FILHO,IBIRACU,URBANA,Em Atividade,RUA DANIEL COMBONI,51,CENTRO,29670000,(27) - 32571570,ESCOLANARCEUPAIVA@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,91,5182139
67,2009,3202504,32021259,EEEFM - NOSSA SENHORA DA SAUDE,IBIRACU,URBANA,Em Atividade,RUA DANIEL COMBONI,19,CENTRO,29670000,(27) - 32571044,ESCOLANOSSASENHORA@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,93,5182140
68,2010,3202504,32021259,EEEFM - NOSSA SENHORA DA SAUDE,IBIRACU,URBANA,Em Atividade,RUA DANIEL COMBONI,19,CENTRO,29670000,(27) - 32571044,ESCOLANOSSASENHORA@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,93,5182141
69,2015,3202504,32021259,EEEFM - NOSSA SENHORA DA SAUDE,IBIRACU,URBANA,Em Atividade,RUA DANIEL COMBONI,19,CENTRO,29670000,(27) - 32571044,ESCOLANOSSASENHORA@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,93,5182142
70,2012,3202504,32021259,EEEFM - NOSSA SENHORA DA SAUDE,IBIRACU,URBANA,Em Atividade,RUA DANIEL COMBONI,19,CENTRO,29670000,(27) - 32571044,ESCOLANOSSASENHORA@SEDU.ES.GOV.BR,EDUCAÇÃO ESPECIAL,7,Estadual,93,5182143
71,2013,3202504,32021259,EEEFM - NOSSA SENHORA DA SAUDE,IBIRACU,URBANA,Em Atividade,RUA DANIEL COMBONI,19,CENTRO,29670000,(27) - 32571044,ESCOLANOSSASENHORA@SEDU.ES.GOV.BR,ATIVIDADE COMPLEMENTAR,9,Estadual,93,5182144
72,2010,3205309,32040288,EEEM - GOMES CARDIM,VITORIA,URBANA,Em Atividade,RUA WILSON FREITAS,"",CENTRO,29016340,(27) - 32222332,ESCOLAGOMESCARDIM@SEDU.ES.GOV.BR,ENSINO MÉDIO,3,Estadual,94,5182145
73,2011,3205309,32040288,EEEM - GOMES CARDIM,VITORIA,URBANA,Em Atividade,RUA WILSON FREITAS,"",CENTRO,29016340,(27) - 32222332,ESCOLAGOMESCARDIM@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,94,5182146
74,2014,3205309,32040288,EEEM - GOMES CARDIM,VITORIA,URBANA,Em Atividade,RUA WILSON FREITAS,"",CENTRO,29016340,(27) - 32222332,ESCOLAGOMESCARDIM@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,94,5182147
75,2012,3205309,32040288,EEEM - GOMES CARDIM,VITORIA,URBANA,Em Atividade,RUA WILSON FREITAS,"",CENTRO,29016340,(27) - 32222332,ESCOLAGOMESCARDIM@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,94,5182148
76,2010,3205309,32040288,EEEM - GOMES CARDIM,VITORIA,URBANA,Em Atividade,RUA WILSON FREITAS,"",CENTRO,29016340,(27) - 32222332,ESCOLAGOMESCARDIM@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,94,5182149
77,2012,3205309,32040288,EEEM - GOMES CARDIM,VITORIA,URBANA,Em Atividade,RUA WILSON FREITAS,"",CENTRO,29016340,(27) - 32222332,ESCOLAGOMESCARDIM@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,94,5182150
78,2012,3205309,32040288,EEEM - GOMES CARDIM,VITORIA,URBANA,Em Atividade,RUA WILSON FREITAS,"",CENTRO,29016340,(27) - 32222332,ESCOLAGOMESCARDIM@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,94,5182151
79,2012,3205309,32040288,EEEM - GOMES CARDIM,VITORIA,URBANA,Em Atividade,RUA WILSON FREITAS,"",CENTRO,29016340,(27) - 32222332,ESCOLAGOMESCARDIM@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,94,5182152
80,2012,3205309,32040288,EEEM - GOMES CARDIM,VITORIA,URBANA,Em Atividade,RUA WILSON FREITAS,"",CENTRO,29016340,(27) - 32222332,ESCOLAGOMESCARDIM@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,94,5182153
81,2010,3205309,32040288,EEEM - GOMES CARDIM,VITORIA,URBANA,Em Atividade,RUA WILSON FREITAS,"",CENTRO,29016340,(27) - 32222332,ESCOLAGOMESCARDIM@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,94,5182154
82,2013,3205309,32040288,EEEM - GOMES CARDIM,VITORIA,URBANA,Em Atividade,RUA WILSON FREITAS,"",CENTRO,29016340,(27) - 32222332,ESCOLAGOMESCARDIM@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,94,5182155
83,2011,3205309,32040288,EEEM - GOMES CARDIM,VITORIA,URBANA,Em Atividade,RUA WILSON FREITAS,"",CENTRO,29016340,(27) - 32222332,ESCOLAGOMESCARDIM@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,94,5182156
84,2015,3205309,32040300,EEEFM - HILDEBRANDO LUCAS,VITORIA,URBANA,Em Atividade,AVENIDA MARUIPE,1455,MARUIPE,29043210,() - ,ESCOLAHILDEBRANDO@SEDU.ES.GOV.BR,ENSINO MÉDIO,3,Estadual,95,5182157
85,2014,3205309,32040300,EEEFM - HILDEBRANDO LUCAS,VITORIA,URBANA,Em Atividade,AVENIDA MARUIPE,1455,MARUIPE,29043210,() - ,ESCOLAHILDEBRANDO@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,95,5182158
86,2011,3205309,32040334,EEEM - IRMA MARIA HORTA,VITORIA,URBANA,Em Atividade,RUA ALEIXO NETTO,1060,PRAIA DO CANTO,29055260,(27) - 32271164,ESCOLAMARIAHORTA@SEDU.ES.GOV.BR,EDUCAÇÃO ESPECIAL,7,Estadual,96,5182159
87,2014,3205002,32074425,EEEM - ANTONIO JOSE PEIXOTO MIGUEL,SERRA,URBANA,Em Atividade,AVENIDA BELO HORIZONTE,"",PRAIAMAR,29182295,(27) - 32532684,ESCOLAANTONIOJOSE@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,97,5182160
88,2009,3200607,32019807,EEEFM - MONSENHOR GUILHERME SCHMITZ,ARACRUZ,URBANA,Em Atividade,RUA ARISTIDES BITTI,350,DE CARLI,29194006,(27) - 32561637,ESCOLAMONSENHOR@HOTMAIL.COM,EDUCAÇÃO PROFISSIONAL,6,Estadual,98,5182161
