_id,LOGRADOURO,ZONA,SITUACFISI,DATA,TELEFONE,GEOCODIGO,FONTE,ADMINISTRA,NUMERO,OPERACION,CLASSECNAE,MUNICIPIO,BAIRRO,NOMEABREV,SIGLAEXTEN,NOME,CEP,CODESCOLA,SITUACAO,ORIGEM,COORDX,COORDY,Id
16,Rua Nossa Senhora de Fátima,Urbana,"",Out/2010,(27) 3764-2344 / 3764-2111,3204054,IJSN,Municipal,s/n,Sim,Fundamental,Pedro Canário,Camata,EMEF,Escola Municipal de Ensino Fundamental,EMEF São João Batista,29970-000,32017308,EM ATIVIDADE,"","-39,9410889740205","-18,3067451505041",16
17,Rua Porto Azul,Urbana,"",Out/2010,(27) 3764-2532 / 3764-2111,3204054,IJSN,Municipal,s/n,Sim,Infantil,Pedro Canário,Camata,CEIM,Centro de Educação Infantil Municipal,CEIM Professor Normilia Cunha Santos,29970-000,32070551,EM ATIVIDADE,"","-39,9410038875332","-18,3062033562583",17
18,Rua Vila Velha,Urbana,"",Out/2010,(27) 3764-1358,3204054,IJSN,Privada,s/n,Sim,Ensino Especial,Pedro Canário,Boa Vista,CAEE,Centro de Atendimento Educacional Especializado,CAEE Vem Viver,29970-000,32017480,EM ATIVIDADE,"","-39,9529124516338","-18,3055475750776",18
19,Rua São Roque,Urbana,"",Out/2010,(27) 3764-1181,3204054,IJSN,Privada,113,Sim,Infantil,Pedro Canário,Boa Vista,EC,Escola Cristã Pequeno Principe,EC Pequeno Princípe,29970-000,32072503,EM ATIVIDADE,"","-39,9509190083861","-18,3052622823246",19
20,Praça Getúlio Vargas,Urbana,"",Out/2010,"",3204252,IJSN,Municipal,s/n,Sim,Infantil,Ponto Belo,Comunidade Itamira,EMEI,Escola Municipal de Educação Infantil,EMEI Ciranda do Futuro,29885-000,32079060,EM ATIVIDADE,"","-40,5134487292676","-18,2553347999544",20
21,Avenida Mario Vello Silvares,Urbana,"",Out/2010,(27) 3764-1715,3204054,IJSN,Municipal,139,Sim,Fundamental,Pedro Canário,Centro,EMEF,Escola Municipal de Ensino Fundamental,EMEF Professor Guedes Alcoforado,29970-000,32017294,EM ATIVIDADE,"","-39,9564701858465","-18,3034256552735",21
22,Assentamento Valdicio Barbosa dos Santos,Rural,"",Out/2010,(27) 3762-3710,3201605,IJSN,Estadual,s/n,Sim,Fundamental,Conceição da Barra,Comunidade Água Preta,EEEF,Escola Estadual de Ensino Fundamental,EEEF Valdicio Barbosa dos Santos,29960-000,32062710,EM ATIVIDADE,"","-39,8781701597257","-18,3023841378525",22
23,Rua Paulo VI,Urbana,"",Out/2010,(27) 3764-2055,3204054,IJSN,Municipal,219,Sim,Infantil,Pedro Canário,Leonório II,CEIM,Centro de Educação Infantil Municipal,CEIM Oficina de Sonhos,29970-000,32077300,EM ATIVIDADE,"","-39,9469984293011","-18,2982387086767",23
24,Avenida Antônio Guedes Alcoforado,Urbana,"",Out/2010,(27) 3764-1615,3204054,IJSN,Estadual,194,Sim,Médio,Pedro Canário,Colina,EEEM,Escola Estadual de Ensino Médio,EEEM Manoel Duarte da Cunha,29970-000,32017391,EM ATIVIDADE,"","-39,9498685225687","-18,2972749320446",24
25,Rua São Gabriel,Urbana,"",Out/2010,(27) 3764-0527,3204054,IJSN,Privada,s/n,Sim,Infantil,Pedro Canário,Centro,"",Creche,Creche Bom Jesus,29970-000,32070578,EM ATIVIDADE,"","-39,9545633268528","-18,2964555618202",25
26,Rua Júlia Bonelar,Urbana,"",Out/2010,(27) 3764-2342,3204054,IJSN,Municipal,s/n,Sim,Fundamental,Pedro Canário,Felinto Damião,EMEF,Escola Municipal de Ensino Fundamental,EMEF Felinto Damião,29970-000,32017278,EM ATIVIDADE,"","-39,9482200618282","-18,2964116207306",26
27,Rua Dr. Edward Abreu do Nascimento,Urbana,"",Out/2010,(27) 3764-2320,3204054,IJSN,Estadual,23,Sim,Fundamental,Pedro Canário,Novo Horizonte,EEEF,Escola Estadual de Ensino Fundamental,EEEF Doutor Edward Abreu do Nascimento,29970-000,32017243,EM ATIVIDADE,"","-39,9590317592246","-18,2960472818238",27
28,Avenida Alberto dos Reis Castro,Urbana,"",Out/2010,(27) 3764-2307,3204054,IJSN,Municipal,s/n,Sim,Fundamental,Pedro Canário,Novo Horizonte,EMEF,Escola Municipal de Ensino Fundamental,EMEF Professor Marcos Brunelli da Rocha,29970-000,32017260,EM ATIVIDADE,"","-39,9599148606176","-18,295754747931",28
29,Rua Boa Esperança,Urbana,"",Out/2010,(27) 3764-2346,3204054,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Pedro Canário,Centro,EMPEF,Escola Municipal Pluridocente de Ensino Fundamental,EMPEF Chapeuzinho Vermelho,29970-000,32017227,EM ATIVIDADE,"","-39,9554360262802","-18,2947226112079",29
30,Rua Alberto Reis Castro,Urbana,"",Out/2010,(27) 3764-1815,3204054,IJSN,Estadual,102,Sim,Fundamental,Pedro Canário,Canarinha,EEEF,Escola Estadual de Ensino Fundamental,EEEF Pedro Canário Ribeiro,29970-000,32017286,EM ATIVIDADE,"","-39,9516260474986","-18,2936605512967",30
31,Rua Minas Gerais,Urbana,"",Out/2010,(27) 3764-1882 / 3764-1078 / 3764-1882,3204054,IJSN,Privada,04,Sim,Infantil e Fundamental,Pedro Canário,Explanada,CE,Centro Educacional,Centro Educacional União,29970-000,32017499,EM ATIVIDADE,"","-39,9635584079083","-18,2928746401848",31
32,"",Rural,"",Out/2010,(27) 3762-0239,3201605,IJSN,Municipal,s/n,Sim,Fundamental,Conceição da Barra,Comunidade Água Preta,EMEF,Escola Municipal de Ensino Fundamental,EMEF Água Preta,29960-000,32016530,EM ATIVIDADE,"","-39,8871345777158","-18,2815473966766",32
33,Rua Assentamento Castro Alves,Rural,"",Out/2010,"",3204054,IJSN,Estadual,445,Sim,Fundamental,Pedro Canário,Comunidade Igrejinha,EEEF,Escola Estadual de Ensino Fundamental,EEEF Três de Maio,29970-000,32017316,EM ATIVIDADE,"","-40,028727443691","-18,2589344944855",33
34,"",Urbana,"",Out/2010,"",3204104,IJSN,Municipal,s/n,Sim,Fundamental,Pinheiros,Comunidade Vila Fernandes,EMPEF,Escola Municipal Pluridocente de Ensino Fundamental,EMPEF Lapinha,29980-000,32015488,EM ATIVIDADE,"","-40,1407716906417","-18,4424428170223",34
35,Rua Principal,Urbana,"",Out/2010,(27) 3768-5012 / 3768-5057,3201001,IJSN,Estadual,107,Sim,Fundamental e Médio,Boa Esperança,São José do Sobradinho,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Sobradinho,29845-000,32005954,EM ATIVIDADE,"","-40,3870731389519","-18,4288019469912",35
36,Rodovia Pinheiros Boa Esperança Km 02,Rural,"",Out/2010,"",3204104,IJSN,Municipal,s/n,Sim,Fundamental,Pinheiros,Comunidade Pinheiros,EMEF,Escola Municipal de Ensino Fundamental,EMEF Maria Edileuza da Silva Pereira,29980-000,32093616,EM ATIVIDADE,"","-40,2193078940942","-18,4221335234285",36
37,Rua Padre Eustáquio,Urbana,"",Out/2010,(27) 3765-2063,3204104,IJSN,Municipal,175,Sim,Infantil,Pinheiros,Jundiá,EMEIEF,Escola Municipal de Ensino Infantil e Fundamental,EMEIEF Padre José de Anchieta,29980-000,32015623,EM ATIVIDADE,"","-40,2134282418329","-18,420973829938",37
38,Rua Geraldo Licinio Vaccari,Urbana,"",Out/2010,(27) 3765-1357,3204104,IJSN,Privada,100,Sim,Ensino Especial,Pinheiros,Residêncial Pinheiros,CAEE,Centro de Atendimento Educacional Especializado,CAEE Escola São Vicente de Paula,29980-000,32015941,EM ATIVIDADE,"","-40,2198963127192","-18,4178763979033",38
39,Praça Getúlio Vargas,Urbana,"",Out/2010,"",3204252,IJSN,Estadual,s/n,Sim,Médio,Ponto Belo,Comunidade Itamira,EEEM,Escola Estadual de Ensino Médio,EEEM Itamira,29885-000,32102011,EM ATIVIDADE,"","-40,5129194290772","-18,2537902753669",39
40,Rua Baiana,Rural,"",Out/2010,(27) 3764-6023,3204054,IJSN,Privada,s/n,Sim,Infantil,Pedro Canário,Comunidade Floresta do Sul,"",Creche,Creche Raio de Luz,29970-000,32017219,EM ATIVIDADE,"","-40,0785438962445","-18,2616876006791",40
41,Assentamento Francisco Oziel Alves,Rural,"",Out/2010,"",3203502,IJSN,Estadual,46,Sim,Fundamental,Montanha,Comunidade São Lourenço,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF Rosangela Leite Alves,29890-000,32096402,EM ATIVIDADE,"","-40,2252534437259","-18,2444592358861",41
42,Assentamento Bela Vista,Rural,"",Out/2010,"",3203502,IJSN,Estadual,55,Sim,Fundamental,Montanha,Comunidade Assentamento Bela Vista,EEPEF,Escola Estadual Pluridocente de Ensino Fundamental,EEPEF Bela Vista,29890-000,32014708,EM ATIVIDADE,"","-40,2453586598075","-18,2092364462606",42
43,Avenida Governador Cristiano Dias Lopes Filho,Urbana,"",Out/2010,(27) 3754-2277 / 3754-2262,3203502,IJSN,Municipal,s/n,Sim,Infantil,Montanha,Comunidade Vinhático,UMEI,Unidade Municipal de Educação Infantil,UMEI Pingo de Gente,29894-000,32071221,EM ATIVIDADE,"","-40,2647495170674","-18,2002214048692",43
44,Avenida Cristiano Dias Lopes Filho,Urbana,"",Out/2010,(27) 3754-5142 / 3754-5210,3203502,IJSN,Municipal,s/n,Sim,Fundamental,Montanha,Comunidade Vinhático,EMEF,Escola Municipal de Ensino Fundamental,EMEF Pedro Palácios,29894-000,32014759,EM ATIVIDADE,"","-40,2652500142182","-18,1972119051038",44
45,Rua Presidente Kennedy,Urbana,"",Out/2010,(27) 3754-5181 / 3754-5180 / 3754-5181,3203502,IJSN,Estadual,190,Sim,Fundamental e Médio,Montanha,Centro,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Padre Manoel da Nobrega,29894-000,32014775,EM ATIVIDADE,"","-40,265161245389","-18,1959598014533",45
46,Rua Dílio Penedo,Urbana,"",Out/2010,(27) 3754-5187 / 3754-5187,3203502,IJSN,Municipal,27,Sim,Infantil,Montanha,Comunidade Vinhático,UMEI,Unidade Municipal de Educação Infantil,UMEI Terezinha Zonfrilli,29894-000,32076800,EM ATIVIDADE,"","-40,2636731025422","-18,1948075308596",46
47,Rodovia Vinhático Montanha,Rural,"",Out/2010,(27) 3754-5192,3203502,IJSN,Privada,s/n,Sim,Fundamental e Médio,Montanha,Comunidade Assentamento Bela Vista,EFA,Escola Família Agrícola,EFA de Vinhático,29890-000,32014791,EM ATIVIDADE,"","-40,2629082687748","-18,1793237292266",47
48,"",Rural,"",Out/2010,"",3203502,IJSN,Municipal,s/n,Sim,Fundamental,Montanha,Comunidade Limoeiro,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Córrego do Limoeiro,29890-000,32014872,EM ATIVIDADE,"","-40,2471019660782","-18,1418871020078",48
49,Rua José Hilário Ávila,Urbana,"",Out/2010,(27) 3754-1556 / 3754-2262,3203502,IJSN,Municipal,s/n,Sim,Infantil,Montanha,Decão,UMEI,Unidade Municipal de Educação Infantil,UMEI Cantinho das Flores,29890-000,32071256,EM ATIVIDADE,"","-40,3700485918999","-18,1328567359631",49
50,Rua Professor Fagundes de Lima,Urbana,"",Out/2010,(27) 3754-2278 / 3754-1699,3203502,IJSN,Municipal,126,Sim,Fundamental,Montanha,Brasília,EMEF,Escola Municipal de Ensino Fundamental,EMEF Bairro Brasília,29890-000,32014554,EM ATIVIDADE,"","-40,3732035013455","-18,1301282014453",50
51,Avenida Douto José Silveira,Urbana,"",Out/2010,(27) 3754-1948 / 3754-2262,3203502,IJSN,Municipal,s/n,Sim,Infantil,Montanha,Cipreste,UMEI,Unidade Municipal de Educação Infantil,UMEI Arco Íris,29890-000,32071248,EM ATIVIDADE,"","-40,3568418631483","-18,129430698643",51
52,Rua Nova Venécia,Urbana,"",Out/2010,(27) 3754-1106 / 3754-1459,3203502,IJSN,Privada,60,Sim,Infantil e Fundamental,Montanha,Centro,CEB,Centro de Educação Básica,CEB Nossa Senhora Aparecida,29890-000,32014570,EM ATIVIDADE,"","-40,3623994942741","-18,1285156731557",52
53,Avenida José Silveira,Urbana,"",Out/2010,(27) 3754-1799 / 3754-2267,3203502,IJSN,Municipal,311,Sim,Fundamental,Montanha,São Sebastião,EMEF,Escola Municipal de Ensino Fundamental,EMEF Maria Clementina Velloso Santos,29890-000,32014562,EM ATIVIDADE,"","-40,3547551575183","-18,1284274234394",53
54,Avenida Combonianos,Urbana,"",Out/2010,(27) 3754-2275 / 3754-1791 / 3754-2260,3203502,IJSN,Municipal,s/n,Sim,Fundamental,Montanha,Irmã Maria Zélia Prudente,EMEF,Escola Municipal de Ensino Fundamental,EMEF Domingos Martins,29890-000,32014600,EM ATIVIDADE,"","-40,3722339161845","-18,1276674187872",54
55,Rua Linhares,Urbana,"",Out/2010,(27) 3754-1249 / 3754-1707 / 3754-1249,3203502,IJSN,Estadual,14,Sim,Fundamental e Médio,Montanha,Centro,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Dom José Dalvit,29890-000,32014597,EM ATIVIDADE,"","-40,3662670878076","-18,1267411421116",55
56,Avenida Antônio Paulino,Urbana,"",Out/2010,(27) 3754-1735 / 3754-1735,3203502,IJSN,Estadual,1085,Sim,Fundamental,Montanha,Centro,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Professor Elpídio Campos de Oliveira,29890-000,32014627,EM ATIVIDADE,"","-40,3620051508589","-18,1264098541787",56
57,Rua José Seabra,Urbana,"",Out/2010,(27) 3754-1334 / 3754-2582,3203502,IJSN,Municipal,275,Sim,Infantil,Montanha,Esperança,UMEI,Unidade Municipal de Educação Infantil,UMEI Herminia Stella Detogne Favarato,29890-000,32076878,EM ATIVIDADE,"","-40,3568654801459","-18,1257701172361",57
58,Rua Anacleto Gava,Urbana,"",Out/2010,(27) 3768-1522 / 3768-1365,3201001,IJSN,Municipal,169,Sim,Fundamental,Boa Esperança,Nova Cidade,EMEF,Escola Municipal de Ensino Fundamental,EMEF Professora Izaura de A. Silva,29845-000,32005610,EM ATIVIDADE,"","-40,2884854870013","-18,5392487733351",58
59,Praça Getúlio Vargas,Urbana,"",Out/2010,(27) 3757-6029,3204252,IJSN,Municipal,s/n,Sim,Fundamental,Ponto Belo,Comunidade Itamira,EMEF,Escola Municipal de Ensino Fundamental,EMEF Professora Célia Bacelar,29885-000,32015410,EM ATIVIDADE,"","-40,5130525992802","-18,2536409849321",59
60,"",Rural,"",Out/2010,(27) 3755-1255,3202108,IJSN,Municipal,s/n,Sim,Fundamental,Ecoporanga,Comunidade Ribeirãozinho,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Ribeirãozinho,29850-000,32002920,EM ATIVIDADE,"","-40,8576768723633","-18,2158443151655",60
61,Santa Luzia do Norte,Urbana,"",Out/2010,(27) 3755-6001,3202108,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Ecoporanga,Centro,EMEIEF,Escola Municipal de Ensino Infantil e Fundamental,EMEIEF Santa Luzia do Norte,29850-000,32004001,EM ATIVIDADE,"","-40,6053058677547","-18,2031575135354",61
62,Rua Principal,Urbana,"",Out/2010,(27) 3755-5162,3202108,IJSN,Municipal,s/n,Sim,Infantil,Ecoporanga,Centro,CMEI,Centro Municipal de Educação Infantil,CMEI Prefeito Délio Rodrigues Correia,29850-000,32003560,EM ATIVIDADE,"","-40,7159089293601","-18,1851973887153",62
63,Rua Santa Cruz,Urbana,"",Out/2010,(27) 3755-5160,3202108,IJSN,Estadual,31,Sim,Fundamental,Ecoporanga,Cotaxé,EEEF,Escola Estadual de Ensino Fundamental,EEEF Cotaxé,29850-000,32003498,EM ATIVIDADE,"","-40,7171494152788","-18,1822950993372",63
64,Rua Acre,Urbana,"",Out/2010,(27) 3757-1066 / 3757-1342 / 3757-1066,3204252,IJSN,Estadual,40,Sim,Fundamental e Médio,Ponto Belo,Vila Nova,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Professora Maria Madalena da Silva,29885-000,32015070,EM ATIVIDADE,"","-40,5386366698217","-18,1285273382175",64
65,Rua Ibicaraí,Urbana,"",Out/2010,(27) 3757-1195,3204252,IJSN,Municipal,s/n,Sim,Infantil,Ponto Belo,Carvão,CMEI,Centro Municipal de Educação Infantil,CMEI Adão Djalma Coelho,29885-000,32015011,EM ATIVIDADE,"","-40,538857887804","-18,1265379270137",65
66,Praça Ana Angélica David,Urbana,"",Out/2010,"",3204252,IJSN,Municipal,s/n,Sim,Fundamental,Ponto Belo,Centro,EMEF,Escola Municipal de Ensino Fundamental,EMEF Professora Valda Costa Severo,29885-000,32015062,EM ATIVIDADE,"","-40,5396453234389","-18,1232019273024",66
67,Avenida Sebastião Rabelo,Urbana,"",Out/2010,(27) 3757-1681,3204252,IJSN,Privada,580,Sim,Ensino Especial,Ponto Belo,Alvorada,"",Associação Pestalozzi,Associação Pestalozzi de Ponto Belo,29885-000,32068441,EM ATIVIDADE,"","-40,5398997844834","-18,1185314113309",67
68,Rua Adão Djalma Coelho,Urbana,"",Out/2010,"",3204252,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Ponto Belo,Chapisco,EMEIEF,Escola Municipal de Ensino Infantil e Fundamental,EMEIEF Pequeno Principe,29885-000,32069804,EM ATIVIDADE,"","-40,5400999341945","-18,1165018968477",68
69,Rua Adão Wagmacker,Urbana,"",Out/2010,(27) 3751-1107,3203601,IJSN,Municipal,s/n,Sim,Infantil,Mucurici,Alto Bonito,CMEI,Centro Municipal de Educação Infantil,CMEI Criança Feliz,29880-000,32065515,EM ATIVIDADE,"","-40,5251005033342","-18,1007048165574",69
70,Rua Rouxinol,Urbana,"",Out/2010,(27) 3751-1207,3203601,IJSN,Estadual,6,Sim,Fundamental e Médio,Mucurici,Planalto,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM de Mucurici,29880-000,32015089,EM ATIVIDADE,"","-40,5217097460632","-18,0964280810777",70
71,Rua Presidente Castelo Branco,Urbana,"",Out/2010,(27) 3751-1358,3203601,IJSN,Municipal,s/n,Sim,Fundamental,Mucurici,Planalto,EMEF,Escola Municipal de Ensino Fundamental,EMEF Professor José Sarmento Roque,29880-000,32015054,EM ATIVIDADE,"","-40,5204158134638","-18,0950511885615",71
72,Rua João Bahia,Urbana,"",Out/2010,(27) 3751-1463,3203601,IJSN,Municipal,s/n,Sim,"",Mucurici,Centro,"",Centro Cultural,Centro Cultural Toque e Cante Mucurici,29880-000,32095201,EM ATIVIDADE,"","-40,5161670947002","-18,0933328749692",72
73,Rua João Bahia,Urbana,"",Out/2010,"",3203601,IJSN,Municipal,55,Sim,Infantil,Mucurici,Centro,CMEI,Centro Municipal de Educação Infantil,CMEI Esperança,29880-000,32015003,EM ATIVIDADE,"","-40,5162924455459","-18,0931682315301",73
74,Rua Principal,Rural,"",Out/2010,(27) 3755-1255,3202108,IJSN,Municipal,s/n,Sim,Infantil,Ecoporanga,Vila de Muritiba,CMEI,Centro Municipal de Educação Infantil,CMEI Pingo de Gente,29850-000,32003340,EM ATIVIDADE,"","-40,7753872980818","-18,0881926342781",74
75,"",Urbana,"",Dez/2010,"",3202108,IJSN,Municipal,s/n,Sim,Fundamental,Ecoporanga,Muritiba,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Muritiba,29850-000,32002904,EM ATIVIDADE,"","-40,7749220871146","-18,0877084829833",75
76,Assentamento Córrego da Lage,Urbana,"",Out/2010,(27) 3751-5003,3203601,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Mucurici,Comunidade Senhor da Luz,EP,Escola Municipal Pluridocente de Ensino Fundamental,EP Verino Sossai,29880-000,32067186,EM ATIVIDADE,"","-40,6361778099714","-18,0300893530076",76
77,Rua Marta Barbosa,Urbana,"",Out/2010,(27) 3751-4025,3203601,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Mucurici,Comunidade Água Boa,EMPEF,Escola Municipal Pluridocente de Ensino Fundamental,EMPEF Água Boa,29880-000,32015038,EM ATIVIDADE,"","-40,3967316607088","-17,9817186806724",77
78,Rua Carlos Chagas,Urbana,"",Out/2010,(27) 3751-3342,3203601,IJSN,Municipal,s/n,Sim,Infantil,Mucurici,Centro,CMEI,Centro Municipal de Educação Infantil,CMEI Nova Vida,29884-000,32079052,EM ATIVIDADE,"","-40,5505478336158","-17,9396952707358",78
79,Rua Praça Nossa Senhora Aparecida,Rural,"",Out/2010,(27) 3764-6082 / 3764-6025,3204054,IJSN,Estadual,11,Sim,Fundamental e Médio,Pedro Canário,Comunidade Floresta do Sul,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Floresta do Sul,29970-000,32017251,EM ATIVIDADE,"","-40,0799944364433","-18,263041395033",79
80,Rua Anchieta,Urbana,"",Out/2010,(27) 3754-1899 / 3754-1899,3203502,IJSN,Privada,282,Sim,Ensino Especial,Montanha,Centro,CAEE,Centro de Atendimento Educacional Especializado,CAEE Irmã Dulce,29890-000,32061781,EM ATIVIDADE,"","-40,362164423791","-18,1256463004204",80
81,"",Rural,"",Out/2010,"",3203502,IJSN,Estadual,4,Sim,Fundamental,Montanha,Comunidade Santo Antônio,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF Francisco Fialho de Lima,29890-000,32014937,EM ATIVIDADE,"","-40,2759474083348","-18,126142548882",81
82,Praça Coronel Vindilino de Matos Lima,Urbana,"",Out/2010,(27) 3754-1790 / 3157-1715,3203502,IJSN,Municipal,234,Sim,Fundamental,Montanha,Fundão,EMEF,Escola Municipal de Ensino Fundamental,EMEF Presidente Costa e Silva,29890-000,32014589,EM ATIVIDADE,"","-40,3630100626778","-18,1236714887704",82
83,Rua Colatina,Urbana,"",Out/2010,(27) 3754-2277 / 3754-2262,3203502,IJSN,Municipal,s/n,Sim,Infantil,Montanha,Fundão,UMEI,Unidade Municipal de Educação Infantil,UMEI Bem Te Vi,29890-000,32071230,EM ATIVIDADE,"","-40,3633661793105","-18,1232330343335",83
84,Rua Assentamento Adriano Machado,Rural,"",Out/2010,"",3203502,IJSN,Estadual,55,Sim,Fundamental,Montanha,Comunidade Montanha,EEPEF,Escola Estadual Pluridocente de Ensino Fundamental,EEPEF Paulo Freire,29890-000,32079478,EM ATIVIDADE,"","-40,3276363796089","-18,1111433133659",84
85,Avenida Antônio Pinheiro Barbosa,Urbana,"",Out/2010,(27) 3754-6086 / 3754-6064,3203502,IJSN,Municipal,s/n,Sim,Fundamental,Montanha,Comunidade São Sebastião do Norte,EMEF,Escola Municipal de Ensino Fundamental,EMEF São Sebastião do Norte,29890-000,32014767,EM ATIVIDADE,"","-40,1728370075939","-18,1073013190379",85
